commodity,year,asset,region,technology,installed,supply
heat,2035,0,R1,gasboiler,2025,6.05410000000
heat,2035,1,R1,gasboiler,2030,7.67520000000
heat,2035,3,R1,heatpump,2025,1.28260000000
heat,2035,4,R1,heatpump,2030,4.98810000000
heat,2040,1,R1,gasboiler,2030,7.40300000000
heat,2040,2,R1,gasboiler,2035,9.06490000000
heat,2040,4,R1,heatpump,2030,4.81120000000
heat,2040,5,R1,heatpump,2035,2.05420000000
CO2f,2035,0,R1,gasboiler,2025,391.75970000000
CO2f,2035,1,R1,gasboiler,2030,496.66430000000
CO2f,2040,1,R1,gasboiler,2030,479.04770000000
CO2f,2040,2,R1,gasboiler,2035,586.59200000000
