commodity,year,asset,region,technology,installed,supply
heat,2040,0,R1,gasboiler,2030,7.40300000000
heat,2040,1,R1,gasboiler,2035,9.06490000000
heat,2040,3,R1,heatpump,2030,4.81120000000
heat,2040,4,R1,heatpump,2035,2.05420000000
heat,2045,1,R1,gasboiler,2035,10.08350000000
heat,2045,2,R1,gasboiler,2040,10.08570000000
heat,2045,4,R1,heatpump,2035,2.28500000000
heat,2045,5,R1,heatpump,2040,4.21250000000
CO2f,2040,0,R1,gasboiler,2030,479.04770000000
CO2f,2040,1,R1,gasboiler,2035,586.59200000000
CO2f,2045,1,R1,gasboiler,2035,652.50160000000
CO2f,2045,2,R1,gasboiler,2040,652.64480000000
