asset,year,region,installed,technology,capacity
0,2050,R1,2020,gasCCGT,5.00000000000
0,2055,R1,2020,gasCCGT,5.00000000000
0,2059,R1,2020,gasCCGT,5.00000000000
2,2050,R1,2025,gasCCGT,1.75560000000
2,2055,R1,2025,gasCCGT,1.75560000000
2,2059,R1,2025,gasCCGT,1.75560000000
2,2060,R1,2025,gasCCGT,1.75560000000
2,2064,R1,2025,gasCCGT,1.75560000000
3,2050,R2,2020,gasCCGT,5.00000000000
3,2055,R2,2020,gasCCGT,5.00000000000
3,2059,R2,2020,gasCCGT,5.00000000000
5,2050,R2,2025,gasCCGT,1.75560000000
5,2055,R2,2025,gasCCGT,1.75560000000
5,2059,R2,2025,gasCCGT,1.75560000000
5,2060,R2,2025,gasCCGT,1.75560000000
5,2064,R2,2025,gasCCGT,1.75560000000
