commodity,year,asset,region,technology,installed,supply
heat,2030,0,R1,gasboiler,2020,56.00000000000
heat,2030,1,R1,gasboiler,2025,29.00000000000
heat,2030,3,R1,heatpump,2020,100.00000000000
heat,2030,4,R1,heatpump,2025,32.54610000000
heat,2035,1,R1,gasboiler,2025,29.00000000000
heat,2035,2,R1,gasboiler,2030,53.24570000000
heat,2035,4,R1,heatpump,2025,32.54610000000
heat,2035,5,R1,heatpump,2030,42.30240000000
CO2f,2030,0,R1,gasboiler,2020,3623.76000000000
CO2f,2030,1,R1,gasboiler,2025,1876.59000000000
CO2f,2035,1,R1,gasboiler,2025,1876.59000000000
CO2f,2035,2,R1,gasboiler,2030,3445.52680000000
