commodity,year,asset,region,technology,installed,supply
heat,2035,0,R1,gasboiler,2025,29.00000000000
heat,2035,1,R1,gasboiler,2030,53.24570000000
heat,2035,3,R1,heatpump,2025,32.54610000000
heat,2035,4,R1,heatpump,2030,42.30240000000
heat,2040,1,R1,gasboiler,2030,53.24570000000
heat,2040,2,R1,gasboiler,2035,38.43400000000
heat,2040,4,R1,heatpump,2030,42.30240000000
heat,2040,5,R1,heatpump,2035,48.61030000000
CO2f,2035,0,R1,gasboiler,2025,1876.59000000000
CO2f,2035,1,R1,gasboiler,2030,3445.52680000000
CO2f,2040,1,R1,gasboiler,2030,3445.52680000000
CO2f,2040,2,R1,gasboiler,2035,2487.06230000000
